"id","publishDate","notificationNumber","currentContractStage","customer.name","customer.inn","OKPD2.code","OKPD2.name","OKEI.code","OKEI.fullName","quantity","sumRUR","supplier.name","supplier.inn","supplier.OKTMO.code","supplier.OKTMO.name","OKEI.name"
"39502451","2018-01-24T17:55:59.503+05:00","0301100016714000017","E","тедепюкэмне ачдфермне свпефдемхе гдпюбннупюмемхъ ""жемрп цхцхемш х щохделхнкнцхх б пеяосакхйе аюьйнпрнярюм""","0276090570",NA,NA,"796","","1.0","4200.00","ннн ""тНПЛСКЮ""","0255011577","80609101","ЦНПНД аЕКЕАЕИ","ьРСЙЮ"
"39638088","2018-01-26T18:04:32.242+05:00","0101300031314000081","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 67"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268031186",NA,NA,"166","","1200.0","204000.00","наыеярбн я нцпюмхвеммни нрберярбеммнярэч ""бйсямше опндсйрш""","0275067296","80701000001","Ц сТЮ","йХКНЦПЮЛЛ"
"39633603","2018-01-26T17:25:20.877+05:00","0101300031314000081","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 67"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268031186",NA,NA,"796","","5000.0","160000.00","гюйпшрне юйжхнмепмне наыеярбн ""наыеохр""","0268003140","80745000001","Ц яРЕПКХРЮЛЮЙ","ьРСЙЮ"
"39638603","2018-01-26T18:04:46.763+05:00","0101300031314000081","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 67"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268031186",NA,NA,"166","","2700.0","54000.00","нАЫЕЯРБН Я НЦПЮМХВЕММНИ НРБЕРЯРБЕММНЯРЭЧ ""нОРрНПЦоПНДСЙР""","0268061455","80745000001","Ц яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39637391","2018-01-26T17:26:03.654+05:00","0101300031314000081","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 67"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268031186",NA,NA,"166","","800.0","44000.00","гюйпшрне юйжхнмепмне наыеярбн ""наыеохр""","0268003140","80745000001","Ц яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39654035","2018-01-29T08:39:14.546+05:00","0101300031314000081","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 67"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268031186",NA,NA,"166","","270.0","18360.00","юйжхнмепмне наыеярбн ""опндрнбюпш""","0268010010","80745000001","Ц яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39654055","2018-01-29T08:39:44.303+05:00","0101300031314000081","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 67"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268031186",NA,NA,"796","","9000.0","45000.00","юйжхнмепмне наыеярбн ""опндрнбюпш""","0268010010","80745000001","Ц яРЕПКХРЮЛЮЙ","ьРСЙЮ"
"39654064","2018-01-29T08:40:14.702+05:00","0101300031314000081","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 67"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268031186",NA,NA,"166","","6000.0","252000.00","юйжхнмепмне наыеярбн ""опндрнбюпш""","0268010010","80745000001","Ц яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39654017","2018-01-29T08:38:43.551+05:00","0101300031314000081","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 67"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268031186",NA,NA,"166","","500.0","42500.00","юйжхнмепмне наыеярбн ""опндрнбюпш""","0268010010","80745000001","Ц яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39639888","2018-01-29T08:38:05.961+05:00","0101300031314000081","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 67"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268031186",NA,NA,"166","","300.0","8400.00","юйжхнмепмне наыеярбн ""опндрнбюпш""","0268010010","80745000001","Ц яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39639521","2018-01-29T08:37:35.016+05:00","0101300031314000081","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 67"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268031186",NA,NA,"166","","60.0","4680.00","юйжхнмепмне наыеярбн ""опндрнбюпш""","0268010010","80745000001","Ц яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
