"purchaseObject.OKPD2.code";"purchaseObject.OKPD2.name";"purchaseObject.OKPD2.code.2dig"
"26.20.13.000";"Машины вычислительные электронные цифровые, содержащие в одном корпусе центральный процессор и устройство ввода и вывода, объединенные или нет для автоматической обработки данных";"26"
"26.20.21.110";"Устройства запоминающие внутренние";"26"
"28.23.25.000";"Части и принадлежности прочих офисных машин";"28"
"17.23.13.190";"Принадлежности канцелярские прочие из бумаги или картона";"17"
"26.20.16.120";"Принтеры";"26"
"17.12.14.110";"Бумага для печати";"17"
"80.20.10.000";"Услуги систем обеспечения безопасности";"80"
"62.01.29.000";"Оригиналы программного обеспечения прочие";"62"
"74.90.20.140";"Услуги (работы) в области защиты информации";"74"
"58.29.29.000";"Обеспечение программное прикладное прочее на электронном носителе";"58"
"46.12.11.000";"Услуги по оптовой торговле твердым, жидким и газообразным топливом и связанными продуктами за вознаграждение или на договорной основе";"46"
"86.21.10.120";"Услуги, предоставляемые врачами общей врачебной практики, по проведению диагностических процедур и постановке диагноза";"86"
"29.20.40.000";"Услуги по переоборудованию, сборке, оснащению автотранспортных средств и кузовным работам";"29"
"22.11.11.000";"Шины и покрышки пневматические для легковых автомобилей новые";"22"
"19.20.21.135";"Бензин автомобильный с октановым числом более 95, но не более 98 по исследовательскому методу экологического класса К5";"19"
"19.20.21.125";"Бензин автомобильный с октановым числом более 92, но не более 95 по исследовательскому методу экологического класса К5";"19"
"62.02.30.000";"Услуги по технической поддержке информационных технологий";"62"
"13.92.29.190";"Изделия текстильные готовые прочие, не включенные в другие группировки";"13"
"58.19.14.110";"Марки почтовые негашеные, гербовые и аналогичные марки";"58"
"26.20.40.190";"Комплектующие и запасные части для вычислительных машин прочие, не включенные в другие группировки";"26"
"84.24.11.000";"Услуги органов охраны правопорядка";"84"
"17.12.14.119";"Бумага для печати прочая";"17"
"58.14.19.000";"Журналы печатные прочие и периодические издания";"58"
"61.20.30.120";"Услуги по передаче данных по беспроводным телекоммуникационным сетям";"61"
"33.12.16.000";"Услуги п о ремонту и техническому обслуживанию офисных машин и оборудования, кроме компьютеров и периферийного оборудования";"33"
"61.10.30.190";"Услуги по передаче данных по проводным телекоммуникационным сетям прочие";"61"
"38.21.10.000";"Услуги по переработке отходов неопасных для окончательной утилизации";"38"
"81.21.10.000";"Услуги по общей уборке зданий";"81"
"61.20.11.000";"Услуги подвижной связи общего пользования - обеспечение доступа и поддержка пользователя";"61"
"36.00.20.150";"Услуги по перевозке (доставке) населению питьевой воды";"36"
"86.21.10.110";"Услуги консультативные, предоставляемые врачами общей врачебной практики";"86"
"45.20.11.000";"Услуги по обычному (текущему) техническому обслуживанию и ремонту легковых автомобилей и легких грузовых автотранспортных средств, кроме услуг по ремонту электрооборудования, шин и кузовов";"45"
"81.10.10.000";"Услуги по обслуживанию помещений комплексные";"81"
