region;ID
Адыгея Республика;5277349
Алтайский край;5277388
Алтай Республика;5277385
Амурская область;5277403
Архангельская область;5277339
Астраханская область;5277355
Байконур город;5277409
Башкортостан Республика;5277363
Белгородская область;5277318
Брянская область;5277319
Бурятия Республика;5277397
Владимирская область;5277320
Волгоградская область;5277356
Вологодская область;5277340
Воронежская область;5277321
Дагестан Республика;5277361
Еврейская автономная область;5277407
Забайкальский край;5277394
Ивановская область;5277322
Ингушетия Республика;5277350
Иркутская область;5277389
Кабардино-Балкарская Республика;5277351
Калининградская область;5277341
Калмыкия Республика;5277360
Калужская область;5277323
Камчатский край;5277404
Карачаево-Черкесская Республика;5277352
Карелия Республика;5277337
Кемеровская область;5277390
Кировская область;5277369
Коми Республика;5277338
Костромская область;5277324
Краснодарский край;5277353
Красноярский край;5277398
Крым Республика;8408974
Курганская область;5277378
Курская область;5277325
Ленинградская область;5277342
Липецкая область;5277326
Магаданская область;5277405
Марий Эл Республика;5277364
Мордовия Республика;5277365
Москва;5277335
Московская область;5277327
Мурманская область;5277343
Ненецкий АО;5277345
Нижегородская область;5277370
Новгородская область;5277346
Новосибирская область;5277391
Омская область;5277392
Оренбургская область;5277371
Орловская область;5277328
Пензенская область;5277372
Пермский край;5277373
Приморский край;5277401
Псковская обл;5277344
Ростовская область;5277357
Рязанская область;5277329
Самарская область;5277374
Санкт-Петербург;5277347
Саратовская область;5277375
Саха Республика;5277400
Сахалинская область;5277406
Свердловская область;5277383
Севастополь;8408975
Северная Осетия Республика;5277359
Смоленская обл;5277330
Ставропольский край;5277354
Тамбовская область;5277331
Татарстан Республика;5277366
Тверская область;5277332
Томская область;5277393
Тульская область;5277333
Тыва Республика;5277386
Тюменская область;5277379
Удмуртская Республика;5277367
Ульяновская область;5277376
Хабаровский край;5277402
Хакасия Республика;5277387
Ханты-Мансийский АО;5277381
Челябинская область;5277380
Чеченская Республика;5277358
Чувашская Республика;5277368
Чукотский АО;5277408
Ямало-Ненецкий АО;5277382
Ярославская область;5277334
