applications.postAddress;applications.inn;responsibleOrg.long;responsibleOrg.lat;address.OSM
"Страна: Российская Федерация; ОКАТО: 92401000000; Почтовый индекс: 420030; Субъект РФ: Татарстан; Город: Казань; Улица: Адмиралтейская; Дом: 3; ";1660075808;49,0509196;55,7978163;дом 3,Адмиралтейская улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401385000; Почтовый индекс: 420029; Субъект РФ: Татарстан; Город: Казань; Улица: Сибирский; Дом: 34, корпус 1; ";1660086239;49,108795;55,796289;дом 34, корпус 1,Сибирский улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401367000; Почтовый индекс: 420108; Субъект РФ: Татарстан; Город: Казань; Улица: Зайни Султана; Дом: ДОМ 17А; ";1655328387;49,114966;55,77953;дом 17А,Зайни Султана улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401367000; Почтовый индекс: 420107; Субъект РФ: Татарстан; Город: Казань; Улица: Хади Такташа; Дом: 103; Офис: 22; ";1655372820;49,131576;55,77078;дом 103,Хади Такташа улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92701000; Почтовый индекс: 420095; Субъект РФ: Республика Татарстан; Город: г. Казань; Улица: Казань, Восстания 102; Дом: 102; Офис: 107; ";1658176340;49,049829;55,832692;дом 102,Казань, Восстания 102 улица,г. Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401379000; Почтовый индекс: 420126; Субъект РФ: Татарстан; Город: Казань; Улица: Чистопольская; Дом: 70; Офис: офис 3; ";1655057257;50,1333858;55,3115356;дом 70,Чистопольская улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92420000000; Почтовый индекс: 422544; Субъект РФ: Татарстан; Город: /Зеленодольск; Улица: Украинская; Дом: 5; Офис: 5; ";1648021235;48,482245;55,8525631;дом 5,Украинская улица,/Зеленодольск,Россия
"Страна: Российская Федерация; ОКАТО: 45286570000; Почтовый индекс: 107031; Субъект РФ: Москва; Город: Москва; Улица: Рождественка; Дом: .5/7, стр.2 этаж 3; Офис: пом. V,  ком.4; ";7702413724;37,623304;55,761148;дом .5/7, стр.2 этаж 3,Рождественка улица,Москва,Россия
"Страна: Российская Федерация; ОКАТО: 20401000000; Почтовый индекс: 394068; Субъект РФ: Воронежская; Город: Воронеж; Улица: Революции 1905 года; Дом: 86д; Офис: 108; ";3662996710;39,179617;51,659389;дом 86д,Революции 1905 года улица,Воронеж,Россия
"Страна: Российская Федерация; ОКАТО: 92401379000; Почтовый индекс: 420044; Субъект РФ: Татарстан; Город: Казань; Улица: Октябрьская; Дом: 12; Офис: 11/2; ";1657225154;50,4683457;56,2086284;дом 12,Октябрьская улица,Казань,Россия
