"ContractID";"Type";"Status";"Law";"StartPrice";"ContractHyperlink";"NameCustomer";"customerHyperlink";"PostedDate";"UpdatedDate";"PlatformName";"ObjectName";"restr_emergency";"restr_antimonopolyDecisionTaken1";"restr_antimonopolyDecisionTaken";"restr_notDishonest";"region"
"'0124200000619003171'";"Электронный аукцион";"Процедура завершена ";"44-ФЗ";3021953,42;"http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0124200000619002881";"КОНТРАКТНОЕ АГЕНТСТВО АРХАНГЕЛЬСКОЙ ОБЛАСТИ";"http://zakupki.gov.ru/epz/organization/view/info.html?organizationId=658948";"17.06.2019";"05.08.2019";"АО «ЕЭТП»";"26.20.16.170-00000002: Мышь компьютерная; 26.20.16.110-00000002: Клавиатура; 26.20.22.000: Устройства запоминающие полупроводниковые, сохраняющие информацию при выключении питания; 26.20.40.110: Устройства и блоки питания вычислительных машин; 26.20.40.190: Комплектующие и запасные части для вычислительных машин прочие, не включенные в другие группировки; 26.20.21.120: Устройства запоминающие внешние; 26.20.40.190: Комплектующие и запасные части для вычислительных машин прочие, не включенные в другие группировки; 26.20.40.190: Комплектующие и запасные части для вычислительных машин прочие, не включенные в другие группировки; 26.20.22.000: Устройства запоминающие полупроводниковые, сохраняющие информацию при выключении питания; 26.20.22.000: Устройства запоминающие полупроводниковые, сохраняющие информацию при выключении питания;                             26.20.16.170-00000002: Мышь компьютерная; 26.20.16.110-00000002: Клавиатура; 26.20.22.000: Устройства запоминающие полупроводниковые, сохраняющие информацию при выключении питания; 26.20.40.110: Устройства и блоки питания вычислительных машин; 26.20.40.190: Комплектующие и запасные части для вычисл...                                    $";NA;NA;NA;NA;"Архангельская область"
"'0124200000619003196'";"Электронный аукцион";"Процедура завершена ";"44-ФЗ";76590;"http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0124200000619003679";"КОНТРАКТНОЕ АГЕНТСТВО АРХАНГЕЛЬСКОЙ ОБЛАСТИ";"http://zakupki.gov.ru/epz/organization/view/info.html?organizationId=658948";"18.07.2019";"01.08.2019";"АО «ЕЭТП»";"26.20.40.190: Комплектующие и запасные части для вычислительных машин прочие, не включенные в другие группировки;";NA;NA;NA;NA;"Архангельская область"
"'0124200000619003242'";"Электронный аукцион";"Процедура завершена ";"44-ФЗ";230000;"http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0124200000619003680";"КОНТРАКТНОЕ АГЕНТСТВО АРХАНГЕЛЬСКОЙ ОБЛАСТИ";"http://zakupki.gov.ru/epz/organization/view/info.html?organizationId=658948";"18.07.2019";"31.07.2019";"АО «ЕЭТП»";"26.20.11.110-00000143: Ноутбук; 26.20.11.110-00000143: Ноутбук; 26.20.15.000-00000028: Системный блок; 26.20.15.000-00000028: Системный блок; 26.20.15.000-00000029: Системный блок; 26.20.15.000-00000029: Системный блок; 26.20.16.120-00000002: Принтер; 26.20.16.120-00000002: Принтер; 26.20.17.110-00000010: Монитор, подключаемый к компьютеру; 26.20.18.000-00000064: Многофункциональное устройство (МФУ);                             26.20.11.110-00000143: Ноутбук; 26.20.11.110-00000143: Ноутбук; 26.20.15.000-00000028: Системный блок; 26.20.15.000-00000028: Системный блок; 26.20.15.000-00000029: Системный блок; 26.20.15.000-00000029: Системный блок; 26.20.16.120-00000002: Принтер; 26.20.16.120-00000002: Принтер; 26.20.17.110-00...                                    $";NA;NA;NA;NA;"Архангельская область"
"'0124200000619003257'";"Электронный аукцион";"Процедура завершена ";"44-ФЗ";127520;"http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0124200000619003601";"КОНТРАКТНОЕ АГЕНТСТВО АРХАНГЕЛЬСКОЙ ОБЛАСТИ";"http://zakupki.gov.ru/epz/organization/view/info.html?organizationId=658948";"16.07.2019";"29.07.2019";"АО «ЕЭТП»";"26.20.17.110: Мониторы, подключаемые к компьютеру;";NA;NA;NA;NA;"Архангельская область"
"'0124200000619003321'";"Электронный аукцион";"Процедура завершена ";"44-ФЗ";423329,95;"http://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=31908108499";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ИНФОРМАЦИОННО-КОММУНИКАЦИОННЫХ ТЕХНОЛОГИЙ АРХАНГЕЛЬСКОЙ ОБЛАСТИ""";"http://zakupki.gov.ruhttp://zakupki.gov.ru/223/ppa/public/organization/organization.html?epz=true&style44=false&agencyId=9260";"17.07.2019";"29.07.2019";"АО «ЕЭТП»";"Поставка серверов";FALSE;NA;NA;FALSE;"Архангельская область"
"'0124200000619003389'";"Электронный аукцион";"Процедура завершена ";"44-ФЗ";745000;"http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0124200000619003475";"КОНТРАКТНОЕ АГЕНТСТВО АРХАНГЕЛЬСКОЙ ОБЛАСТИ";"http://zakupki.gov.ru/epz/organization/view/info.html?organizationId=658948";"10.07.2019";"26.07.2019";"АО «ЕЭТП»";"26.20.18.000: Устройства периферийные с двумя или более функциями: печать данных, копирование, сканирование, прием и передача факсимильных сообщений;";NA;NA;NA;NA;"Архангельская область"
"'0124200000619003412'";"Электронный аукцион";"Процедура завершена ";"44-ФЗ";906933,33;"http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0124200000619003473";"КОНТРАКТНОЕ АГЕНТСТВО АРХАНГЕЛЬСКОЙ ОБЛАСТИ";"http://zakupki.gov.ru/epz/organization/view/info.html?organizationId=658948";"10.07.2019";"26.07.2019";"АО «ЕЭТП»";"26.20.18.000: Устройства периферийные с двумя или более функциями: печать данных, копирование, сканирование, прием и передача факсимильных сообщений;";NA;NA;NA;NA;"Архангельская область"
"'0124200000619003413'";"Электронный аукцион";"Процедура завершена ";"44-ФЗ";6239360;"http://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=31908108931";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""АРХАНГЕЛЬСКАЯ ОБЛАСТНАЯ КЛИНИЧЕСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА""";"http://zakupki.gov.ruhttp://zakupki.gov.ru/223/ppa/public/organization/organization.html?epz=true&style44=false&agencyId=588";"17.07.2019";"26.07.2019";"АО «ЕЭТП»";"Поставка автоматизированных рабочих мест и многофункциональных устройств.";FALSE;NA;NA;FALSE;"Архангельская область"
"'0124200000619003475'";"Электронный аукцион";"Процедура завершена ";"44-ФЗ";89900;"http://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=31908068456";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""АРХАНГЕЛЬСКИЙ КЛИНИЧЕСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР""";"http://zakupki.gov.ruhttp://zakupki.gov.ru/223/ppa/public/organization/organization.html?epz=true&style44=false&agencyId=72907";"05.07.2019";"25.07.2019";"АО «ЕЭТП»";"Поставка автоматизированных рабочих мест и многофункциональных устройств";FALSE;NA;NA;FALSE;"Архангельская область"
"'0124200000619003601'";"Электронный аукцион";"Процедура завершена ";"44-ФЗ";150000;"http://zakupki.gov.ru/epz/order/notice/zk504/view/common-info.html?regNumber=0124100005619000014";"УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ СВЯЗИ, ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ И МАССОВЫХ КОММУНИКАЦИЙ ПО АРХАНГЕЛЬСКОЙ ОБЛАСТИ И НЕНЕЦКОМУ АВТОНОМНОМУ ОКРУГУ";"http://zakupki.gov.ru/epz/organization/view/info.html?organizationId=612105";"08.07.2019";"25.07.2019";"АО «ЕЭТП»";"Принтер";NA;NA;NA;NA;"Архангельская область"
